imu,t,o,r,p,y,temp,press,alt
IMU1,20.24,1,-102.46,-3.83,0.03,25.5,103323.0,165.03
IMU2,20.24,1,103.45,10.68,82.33,25.3,103484.0,178.22
IMU3,20.24,1,-140.74,19.93,-105.4,25.9,103556.0,184.11
IMU1,20.25,1,-102.47,-3.83,0.03,25.5,103323.0,165.03
IMU2,20.25,1,103.92,10.55,82.25,25.3,103484.0,178.22
IMU3,20.25,1,-140.71,19.88,-105.65,25.9,103556.0,184.11
IMU1,20.26,1,-102.47,-3.82,0.03,25.5,103323.0,165.03
IMU2,20.26,1,104.39,10.42,82.17,25.3,103484.0,178.22
IMU3,20.26,1,-140.68,19.83,-105.91,25.9,103556.0,184.11
IMU1,20.27,1,-102.48,-3.82,0.03,25.5,103323.0,165.03
IMU2,20.27,1,104.85,10.31,82.09,25.3,103484.0,178.22
IMU3,20.27,1,-140.58,19.77,-106.13,25.9,103556.0,184.11
IMU1,20.28,1,-102.48,-3.82,0.03,25.5,103323.0,165.03
IMU2,20.28,1,105.31,10.19,82.0,25.3,103484.0,178.22
IMU3,20.28,1,-140.54,19.7,-106.36,25.9,103556.0,184.11
IMU1,20.29,1,-102.48,-3.82,0.03,25.5,103323.0,165.03
IMU2,20.29,1,105.77,10.08,81.91,25.3,103484.0,178.22
IMU3,20.29,1,-140.49,19.63,-106.6,25.9,103556.0,184.11
IMU1,20.3,1,-102.49,-3.82,0.03,25.5,103323.0,165.03
IMU2,20.3,1,106.22,9.97,81.82,25.3,103484.0,178.22
IMU3,20.3,1,-140.54,19.59,-106.92,25.9,103556.0,184.11
IMU1,20.31,1,-102.49,-3.82,0.03,25.5,103324.0,165.11
IMU2,20.31,1,106.67,9.87,81.72,25.3,103480.0,177.89
IMU3,20.31,1,-140.51,19.53,-107.19,26.0,103557.0,184.19
IMU1,20.32,1,-102.49,-3.82,0.03,25.5,103324.0,165.11
IMU2,20.32,1,107.11,9.77,81.62,25.3,103480.0,177.89
IMU3,20.32,1,-140.54,19.46,-107.48,26.0,103557.0,184.19
IMU1,20.33,1,-102.5,-3.82,0.03,25.5,103324.0,165.11
IMU2,20.33,1,107.51,9.67,81.52,25.3,103480.0,177.89
IMU3,20.33,1,-140.56,19.39,-107.77,26.0,103557.0,184.19
IMU1,20.34,1,-102.5,-3.82,0.03,25.5,103324.0,165.11
IMU2,20.34,1,107.93,9.58,81.42,25.3,103480.0,177.89
IMU3,20.34,1,-140.51,19.32,-108.02,26.0,103557.0,184.19
IMU1,20.35,1,-102.5,-3.82,0.03,25.5,103324.0,165.11
IMU2,20.35,1,108.35,9.49,81.31,25.3,103480.0,177.89
IMU3,20.35,1,-140.47,19.25,-108.27,26.0,103557.0,184.19
IMU1,20.36,1,-102.51,-3.82,0.03,25.5,103324.0,165.11
IMU2,20.36,1,108.77,9.41,81.2,25.3,103480.0,177.89
IMU3,20.36,1,-140.42,19.18,-108.52,26.0,103557.0,184.19
IMU1,20.37,1,-102.51,-3.82,0.03,25.5,103324.0,165.11
IMU2,20.37,1,109.19,9.33,81.09,25.3,103480.0,177.89
IMU3,20.37,1,-140.45,19.11,-108.82,26.0,103557.0,184.19
IMU1,20.38,1,-102.52,-3.82,0.04,25.5,103324.0,165.11
IMU2,20.38,1,109.6,9.25,80.97,25.3,103480.0,177.89
IMU3,20.38,1,-140.47,19.03,-109.12,26.0,103557.0,184.19
IMU1,20.39,1,-102.52,-3.82,0.04,25.5,103324.0,165.11
IMU2,20.39,1,110.01,9.18,80.85,25.3,103480.0,177.89
IMU3,20.39,1,-140.38,18.97,-109.36,26.0,103557.0,184.19
IMU1,20.4,1,-102.53,-3.82,0.04,25.5,103324.0,165.11
IMU2,20.4,1,110.41,9.11,80.73,25.3,103480.0,177.89
IMU3,20.4,1,-140.3,18.9,-109.6,26.0,103557.0,184.19
IMU1,20.41,1,-102.53,-3.82,0.04,25.4,103318.0,164.62
IMU2,20.41,1,110.81,9.04,80.6,25.3,103476.0,177.56
IMU3,20.41,1,-140.19,18.85,-109.86,26.0,103565.0,184.84
IMU1,20.42,1,-102.53,-3.82,0.04,25.4,103318.0,164.62
IMU2,20.42,1,111.2,8.98,80.48,25.3,103476.0,177.56
IMU3,20.42,1,-140.08,18.81,-110.11,26.0,103565.0,184.84
IMU1,20.43,1,-102.54,-3.82,0.04,25.4,103318.0,164.62
IMU2,20.43,1,111.59,8.92,80.35,25.3,103476.0,177.56
IMU3,20.43,1,-139.91,18.71,-110.29,26.0,103565.0,184.84
IMU1,20.44,1,-102.54,-3.82,0.04,25.4,103318.0,164.62
IMU2,20.44,1,111.97,8.87,80.21,25.3,103476.0,177.56
IMU3,20.44,1,-139.81,18.66,-110.55,26.0,103565.0,184.84
IMU1,20.45,1,-102.55,-3.82,0.04,25.4,103318.0,164.62
IMU2,20.45,1,112.34,8.82,80.08,25.3,103476.0,177.56
IMU3,20.45,1,-139.71,18.61,-110.81,26.0,103565.0,184.84
IMU1,20.46,1,-102.55,-3.82,0.04,25.4,103318.0,164.62
IMU2,20.46,1,112.71,8.77,79.94,25.3,103476.0,177.56
IMU3,20.46,1,-139.5,18.55,-111.02,26.0,103565.0,184.84
IMU1,20.47,1,-102.55,-3.81,0.04,25.4,103318.0,164.62
IMU2,20.47,1,113.06,8.73,79.8,25.3,103476.0,177.56
IMU3,20.47,1,-139.3,18.49,-111.22,26.0,103565.0,184.84
IMU1,20.48,1,-102.55,-3.81,0.04,25.4,103318.0,164.62
IMU2,20.48,1,113.36,8.68,79.66,25.3,103476.0,177.56
IMU3,20.48,1,-139.1,18.43,-111.43,26.0,103565.0,184.84
IMU1,20.49,1,-102.56,-3.81,0.04,25.4,103318.0,164.62
IMU2,20.49,1,113.68,8.65,79.51,25.3,103476.0,177.56
IMU3,20.49,1,-138.97,18.38,-111.69,26.0,103565.0,184.84
IMU1,20.5,1,-102.57,-3.81,0.04,25.4,103318.0,164.62
IMU2,20.5,1,114.02,8.62,79.36,25.3,103476.0,177.56
IMU3,20.5,1,-138.77,18.37,-112.01,26.0,103565.0,184.84
IMU1,20.51,1,-102.57,-3.81,0.04,25.5,103324.0,165.11
IMU2,20.51,1,114.35,8.59,79.21,25.3,103477.0,177.64
IMU3,20.51,1,-138.65,18.32,-112.28,26.0,103556.0,184.11
IMU1,20.52,1,-102.57,-3.81,0.04,25.5,103324.0,165.11
IMU2,20.52,1,114.68,8.56,79.05,25.3,103477.0,177.64
IMU3,20.52,1,-138.47,18.26,-112.5,26.0,103556.0,184.11
IMU1,20.53,1,-102.58,-3.81,0.04,25.5,103324.0,165.11
IMU2,20.53,1,115.0,8.54,78.9,25.3,103477.0,177.64
IMU3,20.53,1,-138.38,18.22,-112.8,26.0,103556.0,184.11
IMU1,20.54,1,-102.58,-3.81,0.04,25.5,103324.0,165.11
IMU2,20.54,1,115.32,8.52,78.73,25.3,103477.0,177.64
IMU3,20.54,1,-138.29,18.18,-113.1,26.0,103556.0,184.11
IMU1,20.55,1,-102.58,-3.81,0.04,25.5,103324.0,165.11
IMU2,20.55,1,115.63,8.5,78.57,25.3,103477.0,177.64
IMU3,20.55,1,-138.21,18.1,-113.37,26.0,103556.0,184.11
IMU1,20.56,1,-102.59,-3.81,0.04,25.5,103324.0,165.11
IMU2,20.56,1,115.94,8.49,78.41,25.3,103477.0,177.64
IMU3,20.56,1,-138.13,18.02,-113.64,26.0,103556.0,184.11
IMU1,20.57,1,-102.59,-3.81,0.04,25.5,103324.0,165.11
IMU2,20.57,1,116.24,8.48,78.24,25.3,103477.0,177.64
IMU3,20.57,1,-137.95,17.98,-113.92,26.0,103556.0,184.11
IMU1,20.58,1,-102.6,-3.81,0.04,25.5,103324.0,165.11
IMU2,20.58,1,116.53,8.47,78.07,25.3,103477.0,177.64
IMU3,20.58,1,-137.84,17.91,-114.17,26.0,103556.0,184.11
IMU1,20.59,1,-102.6,-3.81,0.04,25.5,103324.0,165.11
IMU2,20.59,1,116.82,8.47,77.89,25.3,103477.0,177.64
IMU3,20.59,1,-137.72,17.84,-114.43,26.0,103556.0,184.11
IMU1,20.6,1,-102.61,-3.81,0.04,25.5,103324.0,165.11
IMU2,20.6,1,117.1,8.47,77.71,25.3,103477.0,177.64
IMU3,20.6,1,-137.68,17.77,-114.74,26.0,103556.0,184.11
IMU1,20.61,1,-102.61,-3.81,0.04,25.5,103321.0,164.87
IMU2,20.61,1,117.37,8.47,77.53,25.3,103486.0,178.38
IMU3,20.61,1,-137.54,17.71,-115.02,26.0,103563.0,184.68
IMU1,20.62,1,-102.62,-3.81,0.04,25.5,103321.0,164.87
IMU2,20.62,1,117.64,8.47,77.35,25.3,103486.0,178.38
IMU3,20.62,1,-137.57,17.65,-115.39,26.0,103563.0,184.68
IMU1,20.63,1,-102.62,-3.81,0.04,25.5,103321.0,164.87
IMU2,20.63,1,117.9,8.48,77.17,25.3,103486.0,178.38
IMU3,20.63,1,-137.59,17.58,-115.76,26.0,103563.0,184.68
IMU1,20.64,1,-102.63,-3.81,0.04,25.5,103321.0,164.87
IMU2,20.64,1,118.15,8.49,76.98,25.3,103486.0,178.38
IMU3,20.64,1,-137.52,17.53,-116.08,26.0,103563.0,184.68
IMU1,20.65,1,-102.63,-3.81,0.04,25.5,103321.0,164.87
IMU2,20.65,1,118.4,8.5,76.79,25.3,103486.0,178.38
IMU3,20.65,1,-137.36,17.45,-116.33,26.0,103563.0,184.68
IMU1,20.66,1,-102.63,-3.81,0.04,25.5,103321.0,164.87
IMU2,20.66,1,118.64,8.52,76.59,25.3,103486.0,178.38
IMU3,20.66,1,-137.29,17.31,-116.66,26.0,103563.0,184.68
IMU1,20.67,1,-102.64,-3.81,0.04,25.5,103321.0,164.87
IMU2,20.67,1,118.88,8.54,76.4,25.3,103486.0,178.38
IMU3,20.67,1,-137.51,17.09,-117.14,26.0,103563.0,184.68
IMU1,20.68,1,-102.64,-3.8,0.04,25.5,103321.0,164.87
IMU2,20.68,1,119.11,8.56,76.2,25.3,103486.0,178.38
IMU3,20.68,1,-137.63,16.92,-117.54,26.0,103563.0,184.68
IMU1,20.69,1,-102.65,-3.8,0.04,25.5,103321.0,164.87
IMU2,20.69,1,119.33,8.58,75.99,25.3,103486.0,178.38
IMU3,20.69,1,-137.7,16.77,-117.88,26.0,103563.0,184.68
IMU1,20.7,1,-102.65,-3.8,0.04,25.5,103321.0,164.87
IMU2,20.7,1,119.54,8.61,75.79,25.3,103486.0,178.38
IMU3,20.7,1,-137.78,16.62,-118.21,26.0,103563.0,184.68
IMU1,20.71,1,-102.65,-3.8,0.04,25.5,103323.0,165.03
IMU2,20.71,1,119.72,8.68,75.59,25.3,103480.0,177.89
IMU3,20.71,1,-137.83,16.39,-118.55,26.0,103555.0,184.02
IMU1,20.72,1,-102.64,-3.8,0.04,25.5,103323.0,165.03
IMU2,20.72,1,120.01,8.82,75.41,25.3,103480.0,177.89
IMU3,20.72,1,-136.82,16.03,-118.53,26.0,103555.0,184.02
IMU1,20.73,1,-102.65,-3.8,0.04,25.5,103323.0,165.03
IMU2,20.73,1,120.16,8.96,75.21,25.3,103480.0,177.89
IMU3,20.73,1,-136.67,16.26,-118.51,26.0,103555.0,184.02
IMU1,20.74,1,-102.65,-3.8,0.04,25.5,103323.0,165.03
IMU2,20.74,1,119.04,8.98,75.42,25.3,103480.0,177.89
IMU3,20.74,1,-136.84,16.75,-118.4,26.0,103555.0,184.02
IMU1,20.75,1,-102.65,-3.8,0.04,25.5,103323.0,165.03
IMU2,20.75,1,117.85,8.91,75.65,25.3,103480.0,177.89
IMU3,20.75,1,-136.29,16.95,-118.09,26.0,103555.0,184.02
IMU1,20.76,1,-102.65,-3.8,0.04,25.5,103323.0,165.03
IMU2,20.76,1,116.88,8.84,75.87,25.3,103480.0,177.89
IMU3,20.76,1,-134.5,16.76,-116.52,26.0,103555.0,184.02
IMU1,20.77,1,-102.65,-3.81,0.04,25.5,103323.0,165.03
IMU2,20.77,1,116.0,8.78,76.09,25.3,103480.0,177.89
IMU3,20.77,1,-133.09,16.69,-114.99,26.0,103555.0,184.02
IMU1,20.78,1,-102.64,-3.81,0.03,25.5,103323.0,165.03
IMU2,20.78,1,115.16,8.73,76.3,25.3,103480.0,177.89
IMU3,20.78,1,-132.02,16.19,-113.33,26.0,103555.0,184.02
IMU1,20.79,1,-102.63,-3.81,0.03,25.5,103323.0,165.03
IMU2,20.79,1,114.32,8.68,76.52,25.3,103480.0,177.89
IMU3,20.79,1,-130.78,15.8,-111.69,26.0,103555.0,184.02
IMU1,20.8,1,-102.64,-3.81,0.03,25.5,103323.0,165.03
IMU2,20.8,1,113.48,8.64,76.74,25.3,103480.0,177.89
IMU3,20.8,1,-130.04,15.35,-110.31,26.0,103555.0,184.02
IMU1,20.81,1,-102.56,-3.82,0.02,25.5,103320.0,164.78
IMU2,20.81,1,112.64,8.6,76.95,25.3,103484.0,178.22
IMU3,20.81,1,-129.46,15.84,-108.69,26.0,103558.0,184.27
IMU1,20.82,1,-102.74,-3.8,0.04,25.5,103320.0,164.78
IMU2,20.82,1,111.81,8.56,77.17,25.3,103484.0,178.22
IMU3,20.82,1,-129.14,16.22,-107.3,26.0,103558.0,184.27
IMU1,20.83,1,-103.35,-3.72,0.19,25.5,103320.0,164.78
IMU2,20.83,1,110.97,8.53,77.39,25.3,103484.0,178.22
IMU3,20.83,1,-127.91,16.14,-105.8,26.0,103558.0,184.27
IMU1,20.84,1,-103.93,-3.54,0.19,25.5,103320.0,164.78
IMU2,20.84,1,110.13,8.5,77.61,25.3,103484.0,178.22
IMU3,20.84,1,-127.03,16.05,-104.49,26.0,103558.0,184.27
IMU1,20.85,1,-103.52,-3.58,0.18,25.5,103320.0,164.78
IMU2,20.85,1,109.29,8.48,77.82,25.3,103484.0,178.22
IMU3,20.85,1,-126.09,16.27,-103.14,26.0,103558.0,184.27
IMU1,20.86,1,-103.43,-3.59,0.18,25.5,103320.0,164.78
IMU2,20.86,1,108.45,8.46,78.04,25.3,103484.0,178.22
IMU3,20.86,1,-125.36,16.31,-101.68,26.0,103558.0,184.27
IMU1,20.87,1,-103.31,-3.63,0.04,25.5,103320.0,164.78
IMU2,20.87,1,107.62,8.45,78.25,25.3,103484.0,178.22
IMU3,20.87,1,-124.55,16.07,-100.46,26.0,103558.0,184.27
IMU1,20.88,1,-103.33,-3.61,-0.08,25.5,103320.0,164.78
IMU2,20.88,1,106.79,8.44,78.46,25.3,103484.0,178.22
IMU3,20.88,1,-124.14,15.53,-99.81,26.0,103558.0,184.27
IMU1,20.89,1,-103.13,-3.62,-0.13,25.5,103320.0,164.78
IMU2,20.89,1,105.96,8.43,78.67,25.3,103484.0,178.22
IMU3,20.89,1,-123.93,15.11,-99.19,26.0,103558.0,184.27
IMU1,20.9,1,-103.14,-3.63,-0.19,25.5,103320.0,164.78
IMU2,20.9,1,105.13,8.43,78.88,25.3,103484.0,178.22
IMU3,20.9,1,-123.57,14.81,-98.33,26.0,103558.0,184.27
IMU1,20.91,1,-103.14,-3.63,-0.21,25.5,103320.0,164.78
IMU2,20.91,1,104.3,8.43,79.09,25.3,103477.0,177.64
IMU3,20.91,1,-122.94,14.52,-97.07,26.0,103556.0,184.11
IMU1,20.92,1,-102.99,-3.65,-0.21,25.5,103320.0,164.78
IMU2,20.92,1,103.49,8.43,79.29,25.3,103477.0,177.64
IMU3,20.92,1,-122.07,14.09,-95.79,26.0,103556.0,184.11
IMU1,20.93,1,-103.02,-3.65,-0.21,25.5,103320.0,164.78
IMU2,20.93,1,102.66,8.44,79.5,25.3,103477.0,177.64
IMU3,20.93,1,-121.0,13.85,-94.35,26.0,103556.0,184.11
IMU1,20.94,1,-103.0,-3.65,-0.21,25.5,103320.0,164.78
IMU2,20.94,1,101.84,8.45,79.7,25.3,103477.0,177.64
IMU3,20.94,1,-119.48,13.85,-92.62,26.0,103556.0,184.11
IMU1,20.95,1,-103.03,-3.64,-0.2,25.5,103320.0,164.78
IMU2,20.95,1,101.02,8.46,79.9,25.3,103477.0,177.64
IMU3,20.95,1,-118.25,13.67,-91.22,26.0,103556.0,184.11
IMU1,20.96,1,-103.04,-3.64,-0.2,25.5,103320.0,164.78
IMU2,20.96,1,100.21,8.47,80.09,25.3,103477.0,177.64
IMU3,20.96,1,-117.55,13.32,-90.24,26.0,103556.0,184.11
IMU1,20.97,1,-103.02,-3.65,-0.2,25.5,103320.0,164.78
IMU2,20.97,1,99.39,8.49,80.29,25.3,103477.0,177.64
IMU3,20.97,1,-117.48,13.14,-89.66,26.0,103556.0,184.11
IMU1,20.98,1,-102.8,-3.67,-0.2,25.5,103320.0,164.78
IMU2,20.98,1,98.58,8.51,80.48,25.3,103477.0,177.64
IMU3,20.98,1,-117.46,12.95,-89.06,26.0,103556.0,184.11
IMU1,20.99,1,-102.74,-3.67,-0.34,25.5,103320.0,164.78
IMU2,20.99,1,97.78,8.53,80.67,25.3,103477.0,177.64
IMU3,20.99,1,-117.37,12.87,-88.23,26.0,103556.0,184.11
IMU1,21.0,1,-102.44,-3.67,-0.39,25.5,103320.0,164.78
IMU2,21.0,1,96.98,8.55,80.86,25.3,103477.0,177.64
IMU3,21.0,1,-117.77,12.95,-87.57,26.0,103556.0,184.11
IMU1,21.01,1,-102.17,-3.69,-0.4,25.5,103320.0,164.78
IMU2,21.01,1,96.19,8.58,81.04,25.3,103482.0,178.05
IMU3,21.01,1,-117.25,12.12,-87.34,26.1,103559.0,184.35
IMU1,21.02,1,-102.12,-3.69,-0.39,25.5,103320.0,164.78
IMU2,21.02,1,95.39,8.61,81.22,25.3,103482.0,178.05
IMU3,21.02,1,-117.17,11.5,-87.18,26.1,103559.0,184.35
IMU1,21.03,1,-102.12,-3.69,-0.39,25.5,103320.0,164.78
IMU2,21.03,1,94.61,8.63,81.4,25.3,103482.0,178.05
IMU3,21.03,1,-117.02,10.83,-86.88,26.1,103559.0,184.35
IMU1,21.04,1,-102.04,-3.69,-0.38,25.5,103320.0,164.78
IMU2,21.04,1,93.82,8.66,81.57,25.3,103482.0,178.05
IMU3,21.04,1,-116.77,10.24,-86.41,26.1,103559.0,184.35
IMU1,21.05,1,-102.02,-3.69,-0.37,25.5,103320.0,164.78
IMU2,21.05,1,93.05,8.7,81.74,25.3,103482.0,178.05
IMU3,21.05,1,-116.71,9.89,-85.86,26.1,103559.0,184.35
IMU1,21.06,1,-101.98,-3.7,-0.37,25.5,103320.0,164.78
IMU2,21.06,1,92.27,8.73,81.91,25.3,103482.0,178.05
IMU3,21.06,1,-116.45,9.49,-85.25,26.1,103559.0,184.35
IMU1,21.07,1,-101.93,-3.7,-0.36,25.5,103320.0,164.78
IMU2,21.07,1,91.51,8.76,82.08,25.3,103482.0,178.05
IMU3,21.07,1,-116.26,9.15,-84.66,26.1,103559.0,184.35
IMU1,21.08,1,-101.9,-3.7,-0.35,25.5,103320.0,164.78
IMU2,21.08,1,90.74,8.8,82.24,25.3,103482.0,178.05
IMU3,21.08,1,-116.03,8.79,-84.08,26.1,103559.0,184.35
IMU1,21.09,1,-101.86,-3.7,-0.35,25.5,103320.0,164.78
IMU2,21.09,1,89.98,8.83,82.41,25.3,103482.0,178.05
IMU3,21.09,1,-115.83,8.42,-83.57,26.1,103559.0,184.35
IMU1,21.1,1,-103.39,-3.84,-0.39,25.5,103320.0,164.78
IMU2,21.1,1,89.23,8.86,82.56,25.3,103482.0,178.05
IMU3,21.1,1,-115.64,8.07,-83.02,26.1,103559.0,184.35
IMU1,21.11,1,-104.94,-3.68,-0.34,25.5,103325.0,165.19
IMU2,21.11,1,88.48,8.9,82.72,25.3,103477.0,177.64
IMU3,21.11,1,-115.41,7.72,-82.47,26.1,103557.0,184.19
IMU1,21.12,1,-104.06,-3.8,-0.32,25.5,103325.0,165.19
IMU2,21.12,1,87.74,8.93,82.87,25.3,103477.0,177.64
IMU3,21.12,1,-115.18,7.37,-81.92,26.1,103557.0,184.19
IMU1,21.13,1,-101.66,-3.98,-0.27,25.5,103325.0,165.19
IMU2,21.13,1,87.01,8.97,83.02,25.3,103477.0,177.64
IMU3,21.13,1,-114.95,7.03,-81.39,26.1,103557.0,184.19
IMU1,21.14,1,-101.93,-3.94,-0.23,25.5,103325.0,165.19
IMU2,21.14,1,86.28,9.0,83.17,25.3,103477.0,177.64
IMU3,21.14,1,-114.72,6.7,-80.87,26.1,103557.0,184.19
IMU1,21.15,1,-101.41,-3.99,-0.22,25.5,103325.0,165.19
IMU2,21.15,1,85.56,9.04,83.31,25.3,103477.0,177.64
IMU3,21.15,1,-114.5,6.37,-80.36,26.1,103557.0,184.19
IMU1,21.16,1,-101.51,-3.97,-0.2,25.5,103325.0,165.19
IMU2,21.16,1,84.84,9.08,83.46,25.3,103477.0,177.64
IMU3,21.16,1,-114.28,6.04,-79.86,26.1,103557.0,184.19
IMU1,21.17,1,-101.44,-3.97,-0.19,25.5,103325.0,165.19
IMU2,21.17,1,84.13,9.11,83.59,25.3,103477.0,177.64
IMU3,21.17,1,-114.07,5.72,-79.38,26.1,103557.0,184.19
IMU1,21.18,1,-101.42,-3.97,-0.19,25.5,103325.0,165.19
IMU2,21.18,1,83.42,9.15,83.73,25.3,103477.0,177.64
IMU3,21.18,1,-113.86,5.4,-78.9,26.1,103557.0,184.19
IMU1,21.19,1,-102.2,-3.84,-0.15,25.5,103325.0,165.19
IMU2,21.19,1,82.73,9.18,83.87,25.3,103477.0,177.64
IMU3,21.19,1,-113.65,5.09,-78.42,26.1,103557.0,184.19
IMU1,21.2,1,-104.01,-3.66,-0.02,25.5,103325.0,165.19
IMU2,21.2,1,82.04,9.22,84.0,25.3,103477.0,177.64
IMU3,21.2,1,-113.45,4.79,-77.97,26.1,103557.0,184.19
IMU1,21.21,1,-105.34,-3.39,0.47,25.5,103326.0,165.27
IMU2,21.21,1,81.35,9.25,84.13,25.3,103478.0,177.72
IMU3,21.21,1,-113.25,4.49,-77.52,26.1,103556.0,184.11
IMU1,21.22,1,-106.64,-3.42,1.41,25.5,103326.0,165.27
IMU2,21.22,1,80.67,9.28,84.26,25.3,103478.0,177.72
IMU3,21.22,1,-113.05,4.2,-77.07,26.1,103556.0,184.11
IMU1,21.23,1,-107.44,-3.5,2.16,25.5,103326.0,165.27
IMU2,21.23,1,80.0,9.32,84.39,25.3,103478.0,177.72
IMU3,21.23,1,-112.85,3.91,-76.64,26.1,103556.0,184.11
IMU1,21.24,1,-107.41,-3.55,2.82,25.5,103326.0,165.27
IMU2,21.24,1,79.33,9.35,84.51,25.3,103478.0,177.72
IMU3,21.24,1,-112.67,3.63,-76.25,26.1,103556.0,184.11
IMU1,21.25,1,-107.22,-3.75,4.19,25.5,103326.0,165.27
IMU2,21.25,1,78.68,9.38,84.63,25.3,103478.0,177.72
IMU3,21.25,1,-112.47,3.34,-75.87,26.1,103556.0,184.11
IMU1,21.26,1,-107.86,-3.82,5.38,25.5,103326.0,165.27
IMU2,21.26,1,78.03,9.41,84.75,25.3,103478.0,177.72
IMU3,21.26,1,-112.26,3.04,-75.47,26.1,103556.0,184.11
IMU1,21.27,1,-106.4,-4.37,6.34,25.5,103326.0,165.27
IMU2,21.27,1,77.38,9.44,84.87,25.3,103478.0,177.72
IMU3,21.27,1,-111.95,2.69,-75.05,26.1,103556.0,184.11
IMU1,21.28,1,-104.56,-5.71,8.17,25.5,103326.0,165.27
IMU2,21.28,1,76.75,9.47,84.99,25.3,103478.0,177.72
IMU3,21.28,1,-111.74,2.4,-74.65,26.1,103556.0,184.11
IMU1,21.29,1,-102.14,-7.62,8.63,25.5,103326.0,165.27
IMU2,21.29,1,76.12,9.5,85.1,25.3,103478.0,177.72
IMU3,21.29,1,-111.5,2.13,-74.21,26.1,103556.0,184.11
IMU1,21.3,1,-102.3,-8.25,8.92,25.5,103326.0,165.27
IMU2,21.3,1,75.49,9.52,85.21,25.3,103478.0,177.72
IMU3,21.3,1,-111.27,1.9,-73.75,26.1,103556.0,184.11
IMU1,21.31,1,-102.72,-8.56,8.07,25.5,103322.0,164.95
IMU2,21.31,1,74.88,9.55,85.32,25.3,103481.0,177.97
IMU3,21.31,1,-111.06,1.62,-73.4,26.1,103559.0,184.35
IMU1,21.32,1,-104.7,-8.39,7.9,25.5,103322.0,164.95
IMU2,21.32,1,74.27,9.58,85.43,25.3,103481.0,177.97
IMU3,21.32,1,-110.89,1.37,-73.03,26.1,103559.0,184.35
IMU1,21.33,1,-106.77,-7.83,7.45,25.5,103322.0,164.95
IMU2,21.33,1,73.67,9.6,85.54,25.3,103481.0,177.97
IMU3,21.33,1,-110.73,1.14,-72.67,26.1,103559.0,184.35
IMU1,21.34,1,-108.89,-7.27,7.15,25.5,103322.0,164.95
IMU2,21.34,1,73.07,9.62,85.65,25.3,103481.0,177.97
IMU3,21.34,1,-110.56,0.9,-72.31,26.1,103559.0,184.35
IMU1,21.35,1,-111.32,-6.84,6.83,25.5,103322.0,164.95
IMU2,21.35,1,72.48,9.64,85.76,25.3,103481.0,177.97
IMU3,21.35,1,-110.4,0.67,-71.96,26.1,103559.0,184.35
IMU1,21.36,1,-113.99,-5.98,6.76,25.5,103322.0,164.95
IMU2,21.36,1,71.9,9.66,85.86,25.3,103481.0,177.97
IMU3,21.36,1,-110.24,0.45,-71.62,26.1,103559.0,184.35
IMU1,21.37,1,-116.02,-5.69,6.15,25.5,103322.0,164.95
IMU2,21.37,1,71.33,9.68,85.97,25.3,103481.0,177.97
IMU3,21.37,1,-110.08,0.23,-71.28,26.1,103559.0,184.35
IMU1,21.38,1,-118.1,-5.85,5.19,25.5,103322.0,164.95
IMU2,21.38,1,70.76,9.7,86.07,25.3,103481.0,177.97
IMU3,21.38,1,-109.93,0.02,-70.95,26.1,103559.0,184.35
IMU1,21.39,1,-120.82,-5.69,5.26,25.5,103322.0,164.95
IMU2,21.39,1,70.2,9.72,86.17,25.3,103481.0,177.97
IMU3,21.39,1,-109.78,-0.19,-70.62,26.1,103559.0,184.35
IMU1,21.4,1,-123.52,-5.55,5.52,25.5,103322.0,164.95
IMU2,21.4,1,69.65,9.74,86.27,25.3,103481.0,177.97
IMU3,21.4,1,-109.63,-0.4,-70.3,26.1,103559.0,184.35
IMU1,21.41,1,-125.57,-6.37,5.06,25.5,103314.0,164.29
IMU2,21.41,1,69.1,9.75,86.37,25.3,103479.0,177.81
IMU3,21.41,1,-109.48,-0.59,-69.99,26.1,103560.0,184.44
IMU1,21.42,1,-128.82,-5.94,4.6,25.5,103314.0,164.29
IMU2,21.42,1,68.56,9.77,86.47,25.3,103479.0,177.81
IMU3,21.42,1,-109.33,-0.79,-69.69,26.1,103560.0,184.44
IMU1,21.43,1,-131.51,-5.93,3.73,25.5,103314.0,164.29
IMU2,21.43,1,68.03,9.78,86.57,25.3,103479.0,177.81
IMU3,21.43,1,-109.18,-0.97,-69.39,26.1,103560.0,184.44
IMU1,21.44,1,-132.76,-6.49,3.24,25.5,103314.0,164.29
IMU2,21.44,1,67.5,9.79,86.67,25.3,103479.0,177.81
IMU3,21.44,1,-109.04,-1.16,-69.09,26.1,103560.0,184.44
IMU1,21.45,1,-132.66,-9.35,1.33,25.5,103314.0,164.29
IMU2,21.45,1,66.98,9.8,86.77,25.3,103479.0,177.81
IMU3,21.45,1,-108.9,-1.34,-68.8,26.1,103560.0,184.44
IMU1,21.46,1,-133.48,-13.95,-2.38,25.5,103314.0,164.29
IMU2,21.46,1,66.47,9.81,86.87,25.3,103479.0,177.81
IMU3,21.46,1,-108.76,-1.51,-68.52,26.1,103560.0,184.44
IMU1,21.47,1,-133.32,-10.99,-0.65,25.5,103314.0,164.29
IMU2,21.47,1,65.97,9.82,86.97,25.3,103479.0,177.81
IMU3,21.47,1,-108.62,-1.68,-68.24,26.1,103560.0,184.44
IMU1,21.48,1,-134.07,-9.21,0.56,25.5,103314.0,164.29
